0100000000001000	qlaunch
0100000000001001	auth
0100000000001002	cabinet
0100000000001003	controller
0100000000001004	dataErase
0100000000001005	error
0100000000001006	netConnect
0100000000001007	playerSelect
0100000000001008	swkbd
0100000000001009	miiEdit
010000000000100A	LibAppletWeb
010000000000100B	LibAppletShop
010000000000100C	overlayDisp
010000000000100D	photoViewer
010000000000100F	LibAppletOff
0100000000001010	LibAppletLns
0100000000001011	LibAppletAuth
0100000000001012	starter
0100000000001013	myPage
0100000000001015	maintenance
