/* Nintendo sysmodules */
0100000000000000	fs
0100000000000001	ldr
0100000000000002	ncm
0100000000000003	pm
0100000000000004	sm
0100000000000005	boot
0100000000000006	usb
0100000000000007	tma.stub/htc.stub
0100000000000008	boot2
0100000000000009	settings
010000000000000A	Bus
010000000000000B	bluetooth
010000000000000C	bcat
010000000000000D	dmnt
010000000000000E	friends
010000000000000F	nifm
0100000000000010	ptm
0100000000000011	shell
0100000000000012	bsdsockets
0100000000000013	hid
0100000000000014	audio
0100000000000015	LogManager
0100000000000016	wlan
0100000000000017	cs
0100000000000018	ldn
0100000000000019	nvservices
010000000000001A	pcv
010000000000001B	ppc/capmtp
010000000000001C	nvnflinger
010000000000001D	pcie/pcie.withoutHb
010000000000001E	account
010000000000001F	ns
0100000000000020	nfc
0100000000000021	psc
0100000000000022	capsrv
0100000000000023	am
0100000000000024	ssl
0100000000000025	nim
0100000000000026	cec
0100000000000027	tspm
0100000000000028	spl
0100000000000029	lbl
010000000000002A	btm
010000000000002B	erpt
010000000000002C	time
010000000000002D	vi
010000000000002E	pctl
010000000000002F	npns
0100000000000030	eupld
0100000000000031	arp/glue
0100000000000032	eclct
0100000000000033	es
0100000000000034	fatal
0100000000000035	grc
0100000000000036	creport
0100000000000037	ro
0100000000000038	profiler
0100000000000039	sdb
010000000000003A	migration
010000000000003B	jit
010000000000003C	jpegdec
010000000000003D	safemode
010000000000003E	olsc
010000000000003F	dt
0100000000000040	nd
0100000000000041	ngct
0100000000000042	pgl
0100000000000045	omm
0100000000000046	eth
0100000000000050	ngc
010000000000D609	dmnt.gen2
0100000000000819	bootImagePackage
